"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"102",1341,85.54727,0,2134,"Conway","MA",1215,499,"47.3251%",81.45302,25,1
"103",1342,80.0233,0,2961,"Deerfield","MA",701,266,"33.80885%",89.35223,25,2
"104",1344,36.53618,0,11431,"Erving","MA",600,259,"12.16667%",64.23585,25,2
"105",1346,67.98652,0,NA,"Heath","MA",211,82,"29.38389%",72.73525,25,1
"106",1349,26.76985,0,14316,"Millers Falls","MA",1112,402,"14.83813%",51.48675,25,2
"107",1350,6.76737,0,NA,"Monroe Bridge","MA",42,16,"16.66667%",27.7865,25,1
"108",1351,74.22405,0,3855,"Montague","MA",1686,665,"31.25741%",80.57431,25,2
"109",1355,78.44974,0,3197,"New Salem","MA",637,255,"41.60126%",72.09975,25,2
"110",1360,70.26956,0,4451,"Northfield","MA",1992,827,"30.77309%",74.2926,25,2
"111",1364,36.27447,0,11505,"Orange","MA",5024,1985,"15.84395%",57.64424,25,2
"112",1366,82.48136,0,2593,"Petersham","MA",855,297,"45.61403%",75.45898,25,2
"113",1367,68.83882,0,NA,"Rowe","MA",269,110,"29.73978%",73.5525,25,1
"114",1368,49.98059,0,8226,"Royalston","MA",791,313,"16.94058%",68.9066,25,2
"115",1370,70.53769,0,4411,"Shelburne Falls","MA",3080,1130,"33.83117%",69.55255,25,2
"116",1370,70.53769,0,4411,"Shelburne Falls","MA",3080,1130,"33.83117%",69.55255,25,1
"117",1373,79.76491,0,3000,"South Deerfield","MA",3835,1442,"36.34941%",84.3402,25,2
"118",1375,83.25891,0,2470,"Sunderland","MA",2291,795,"50.50197%",69.33026,25,2
"119",1376,36.16401,0,11544,"Turners Falls","MA",4447,1702,"16.528%",56.35364,25,2
"120",1378,53.91896,0,NA,"Warwick","MA",496,203,"25%",59.88154,25,2
"121",1379,81.50759,0,2747,"Wendell","MA",615,214,"41.62602%",79.41708,25,2
"122",1420,34.00417,0,12071,"Fitchburg","MA",24863,9456,"15.40844%",56.60731,25,2
"123",1420,34.00417,0,12071,"Fitchburg","MA",24863,9456,"15.40844%",56.60731,25,3
"124",1430,67.83934,0,4843,"Ashburnham","MA",3606,1549,"26.56683%",77.23078,25,3
"125",1431,71.10177,0,4325,"Ashby","MA",1869,780,"25.52167%",84.86324,25,3
"126",1432,67.60154,0,4879,"Ayer","MA",5671,1797,"24.14036%",81.02936,25,3
"127",1436,36.75133,0,11382,"Baldwinville","MA",2095,780,"10.54893%",67.21587,25,2
"128",1438,59.80067,0,NA,"East Templeton","MA",73,38,"8.21918%",96.4355,25,2
"129",1440,38.98957,0,10793,"Gardner","MA",14559,5209,"15.07659%",61.47158,25,2
"130",1440,38.98957,0,10793,"Gardner","MA",14559,5209,"15.07659%",61.47158,25,3
"131",1450,95.32131,1,749,"Groton","MA",6048,2549,"53.83598%",120.3175,25,3
"132",1451,99.2753,1,122,"Harvard","MA",3313,1457,"75.8527%",157.0009,25,3
"133",1452,78.88741,0,3130,"Hubbardston","MA",2504,1111,"33.82588%",86.37744,25,2
"134",1453,58.82037,0,6410,"Leominster","MA",27883,11042,"21.97038%",71.36227,25,3
"135",1453,58.82037,0,6410,"Leominster","MA",27883,11042,"21.97038%",71.36227,25,2
"136",1460,92.30986,0,1161,"Littleton","MA",5586,2255,"48.1382%",109.0081,25,3
"137",1462,75.98411,0,3601,"Lunenburg","MA",6467,2674,"31.51384%",83.66155,25,3
"138",1463,82.24461,0,2634,"Pepperell","MA",6975,3018,"32.83154%",96.71925,25,3
"139",1464,66.31257,0,5086,"Shirley","MA",4516,1418,"19.61913%",86.6285,25,3
"140",1467,98.58216,1,NA,"Still River","MA",127,40,"70.07874%",138.2264,25,3
"141",1468,54.1406,0,7327,"Templeton","MA",2157,927,"17.43162%",73.18507,25,2
"142",1469,76.2477,0,3557,"Townsend","MA",3720,1662,"28.01075%",90.3277,25,3
"143",1473,71.83553,0,4218,"Westminster","MA",4639,1935,"28.51908%",80.85545,25,3
"144",1474,72.45442,0,4130,"West Townsend","MA",1981,821,"28.57143%",81.93814,25,3
"145",1475,40.92289,0,10312,"Winchendon","MA",6011,2521,"13.74147%",65.40877,25,2
"146",1475,40.92289,0,10312,"Winchendon","MA",6011,2521,"13.74147%",65.40877,25,3
"147",1501,67.08811,0,4958,"Auburn","MA",11403,4392,"24.37955%",79.73091,25,2
"148",1503,85.45173,0,2150,"Berlin","MA",1626,659,"36.40836%",99.92548,25,3
"149",1504,58.44682,0,6486,"Blackstone","MA",5663,2326,"16.3341%",80.59131,25,2
"150",1505,86.50883,0,1988,"Boylston","MA",2863,1143,"37.72267%",101.475,25,2
"151",1506,51.83459,0,7815,"Brookfield","MA",2080,868,"16.77885%",71.28905,25,1
"152",1507,75.67114,0,3648,"Charlton","MA",7275,3048,"26.43299%",91.80398,25,1
"153",1510,58.99743,0,6377,"Clinton","MA",9393,3406,"23.02779%",69.70554,25,3
"154",1515,54.10724,0,7335,"East Brookfield","MA",1428,598,"16.2465%",75.187,25,1
"155",1516,71.09961,0,4327,"Douglas","MA",4542,1955,"23.93219%",87.5922,25,2
"156",1518,69.48811,0,4591,"Fiskdale","MA",1496,633,"27.40642%",78.58153,25,1
"157",1519,91.96971,0,1213,"Grafton","MA",3805,1587,"47.72668%",107.9358,25,2
"158",1520,88.48966,0,1721,"Holden","MA",8626,3643,"45.22374%",95.56203,25,2
"159",1521,58.42404,0,6492,"Holland","MA",1602,676,"19.78776%",74.56458,25,1
"160",1522,90.96002,0,1371,"Jefferson","MA",1954,820,"46.2129%",104.3308,25,2
"161",1523,77.52503,0,3346,"Lancaster","MA",4903,1549,"30.94024%",87.94917,25,3
"162",1524,65.17957,0,5275,"Leicester","MA",3997,1596,"19.83988%",84.2552,25,2
"163",1527,61.23249,0,5965,"Millbury","MA",9005,3471,"17.79012%",81.80869,25,2
"164",1529,63.31213,0,5594,"Millville","MA",1712,733,"20.44393%",80.4344,25,2
"165",1531,63.57499,0,5558,"New Braintree","MA",574,267,"21.42857%",79.00127,25,2
"166",1532,94.52843,0,857,"Northborough","MA",9221,3936,"51.04653%",118.3116,25,2
"167",1534,72.35823,0,4145,"Northbridge","MA",3282,1245,"23.766%",90.04134,25,2
"168",1535,49.95819,0,8233,"North Brookfield","MA",3100,1241,"17.64516%",67.6683,25,2
"169",1536,77.11745,0,3414,"North Grafton","MA",4390,1651,"31.20729%",86.59843,25,2
"170",1537,49.82452,0,8274,"North Oxford","MA",1271,484,"19.43352%",64.3653,25,2
"171",1540,58.64043,0,6449,"Oxford","MA",7557,3092,"17.52018%",78.76852,25,2
"172",1541,94.29895,0,891,"Princeton","MA",2218,967,"54.77908%",110.2307,25,2
"173",1542,77.72144,0,3314,"Rochdale","MA",1304,484,"24.46319%",99.70973,25,2
"174",1543,78.21204,0,3232,"Rutland","MA",3996,1687,"29.5045%",92.43294,25,2
"175",1545,90.41632,0,1450,"Shrewsbury","MA",21894,8755,"46.06285%",101.4933,25,2
"176",1550,25.65847,0,14652,"Southbridge","MA",11291,4594,"12.4524%",54.74006,25,1
"177",1560,49.42892,0,8370,"South Grafton","MA",1858,714,"16.68461%",68.649,25,2
"178",1562,55.37249,0,7068,"Spencer","MA",7798,3107,"17.73532%",74.2233,25,2
"179",1564,85.32158,0,2170,"Sterling","MA",4884,2078,"35.85176%",100.6107,25,2
"180",1566,81.09116,0,2803,"Sturbridge","MA",3946,1614,"36.8221%",86.8168,25,1
"181",1568,92.66019,0,1118,"Upton","MA",3762,1565,"44.86975%",116.3659,25,2
"182",1569,76.05855,0,3589,"Uxbridge","MA",7192,2993,"26.86318%",91.85236,25,2
"183",1570,44.59286,0,9465,"Webster","MA",10789,4080,"15.9329%",64.9328,25,2
"184",1571,60.03745,0,6170,"Dudley","MA",7002,2879,"20.6084%",75.48905,25,1
"185",1581,95.48956,1,719,"Westborough","MA",11948,4491,"53.15534%",123.712,25,2
"186",1581,95.48956,1,719,"Westborough","MA",11948,4491,"53.15534%",123.712,25,5
"187",1583,80.99456,0,2815,"West Boylston","MA",4330,1772,"34.41108%",90.74744,25,2
"188",1585,49.82309,0,8275,"West Brookfield","MA",3946,1446,"17.76482%",67.23679,25,1
"189",1585,49.82309,0,8275,"West Brookfield","MA",3946,1446,"17.76482%",67.23679,25,2
"190",1588,64.52251,0,5389,"Whitinsville","MA",5557,2275,"23.73583%",76.57306,25,2
"191",1590,86.96819,0,1925,"Sutton","MA",5356,2294,"35.99701%",105.9156,25,2
"192",1602,76.16861,0,3567,"Worcester","MA",15738,5992,"37.08858%",74.49136,25,2
"193",1603,33.28073,0,12298,"Worcester","MA",11254,4200,"14.17274%",57.97375,25,2
"194",1604,47.52397,0,8791,"Worcester","MA",23498,8084,"21.41884%",58.53602,25,2
"195",1605,31.34513,0,12899,"Worcester","MA",15279,5706,"20.80633%",44.94221,25,2
"196",1606,59.00384,0,6376,"Worcester","MA",13994,4966,"24.02458%",67.9952,25,2
"197",1607,10.63111,0,19931,"Worcester","MA",4812,1887,"10.39069%",43.85036,25,2
"198",1608,2.589489,0,23067,"Worcester","MA",1710,729,"14.73684%",21.91014,25,2
"199",1609,70.37096,0,4437,"Worcester","MA",11661,3855,"35.94031%",65.60883,25,2
"200",1610,10.16704,0,20121,"Worcester","MA",11722,4327,"12.44668%",39.72881,25,2
"201",1611,56.74573,0,6810,"Cherry Valley","MA",1542,611,"17.63943%",76.19646,25,2
"202",1612,90.5235,0,1436,"Paxton","MA",2739,1161,"44.24973%",105.2592,25,2
